DEPTH;PRESSURE;TIME_INDEX;DATES
498.5;40.14225;1;04.Jan.2022
499.0;40.14355;1;04.Jan.2022
499.5;40.14485;1;04.Jan.2022
400.0;39.99306;2;31.Jan.2022
400.5;39.99323;2;31.Jan.2022
401.0;39.99339;2;31.Jan.2022
401.5;39.99355;2;31.Jan.2022
402.0;39.99372;2;31.Jan.2022
402.5;39.99389;2;31.Jan.2022
403.0;39.99405;2;31.Jan.2022
403.5;39.99422;2;31.Jan.2022
404.0;39.99439;2;31.Jan.2022
404.5;39.99456;2;31.Jan.2022
405.0;39.99472;2;31.Jan.2022
405.5;39.9949;2;31.Jan.2022
406.0;39.99507;2;31.Jan.2022
406.5;39.99524;2;31.Jan.2022
407.0;39.99541;2;31.Jan.2022
407.5;39.99559;2;31.Jan.2022
408.0;39.99576;2;31.Jan.2022
408.5;39.99594;2;31.Jan.2022
409.0;39.99612;2;31.Jan.2022
409.5;39.9963;2;31.Jan.2022
410.0;39.99648;2;31.Jan.2022
410.5;39.99666;2;31.Jan.2022
411.0;39.99684;2;31.Jan.2022
411.5;39.99702;2;31.Jan.2022
412.0;39.99721;2;31.Jan.2022
412.5;39.9974;2;31.Jan.2022
413.0;39.99759;2;31.Jan.2022
413.5;39.99779;2;31.Jan.2022
414.0;39.99798;2;31.Jan.2022
414.5;39.99818;2;31.Jan.2022
415.0;39.99838;2;31.Jan.2022
415.5;39.99858;2;31.Jan.2022
416.0;39.99878;2;31.Jan.2022
416.5;39.99899;2;31.Jan.2022
417.0;39.9992;2;31.Jan.2022
417.5;39.99942;2;31.Jan.2022
418.0;39.99963;2;31.Jan.2022
418.5;39.99985;2;31.Jan.2022
419.0;40.00007;2;31.Jan.2022
419.5;40.0003;2;31.Jan.2022
420.0;40.00053;2;31.Jan.2022
420.5;40.00076;2;31.Jan.2022
421.0;40.001;2;31.Jan.2022
421.5;40.00124;2;31.Jan.2022
422.0;40.00148;2;31.Jan.2022
422.5;40.00173;2;31.Jan.2022
423.0;40.00199;2;31.Jan.2022
423.5;40.00224;2;31.Jan.2022
424.0;40.00251;2;31.Jan.2022
424.5;40.00277;2;31.Jan.2022
425.0;40.00305;2;31.Jan.2022
425.5;40.00333;2;31.Jan.2022
426.0;40.00361;2;31.Jan.2022
426.5;40.0039;2;31.Jan.2022
427.0;40.0042;2;31.Jan.2022
427.5;40.0045;2;31.Jan.2022
428.0;40.00481;2;31.Jan.2022
428.5;40.00512;2;31.Jan.2022
429.0;40.00544;2;31.Jan.2022
429.5;40.00577;2;31.Jan.2022
430.0;40.0061;2;31.Jan.2022
430.5;40.00645;2;31.Jan.2022
431.0;40.0068;2;31.Jan.2022
431.5;40.00715;2;31.Jan.2022
432.0;40.00752;2;31.Jan.2022
432.5;40.00789;2;31.Jan.2022
433.0;40.00827;2;31.Jan.2022
433.5;40.00867;2;31.Jan.2022
434.0;40.00907;2;31.Jan.2022
434.5;40.00948;2;31.Jan.2022
435.0;40.00989;2;31.Jan.2022
435.5;40.01032;2;31.Jan.2022
436.0;40.01076;2;31.Jan.2022
436.5;40.0112;2;31.Jan.2022
437.0;40.01166;2;31.Jan.2022
437.5;40.01213;2;31.Jan.2022
438.0;40.01261;2;31.Jan.2022
438.5;40.0131;2;31.Jan.2022
439.0;40.0136;2;31.Jan.2022
439.5;40.01411;2;31.Jan.2022
440.0;40.01463;2;31.Jan.2022
440.5;40.01516;2;31.Jan.2022
441.0;40.01571;2;31.Jan.2022
441.5;40.01626;2;31.Jan.2022
442.0;40.01683;2;31.Jan.2022
442.5;40.01741;2;31.Jan.2022
443.0;40.01801;2;31.Jan.2022
443.5;40.01861;2;31.Jan.2022
444.0;40.01923;2;31.Jan.2022
444.5;40.01986;2;31.Jan.2022
445.0;40.0205;2;31.Jan.2022
445.5;40.02116;2;31.Jan.2022
446.0;40.02182;2;31.Jan.2022
446.5;40.02251;2;31.Jan.2022
447.0;40.0232;2;31.Jan.2022
447.5;40.02391;2;31.Jan.2022
448.0;40.02463;2;31.Jan.2022
448.5;40.02536;2;31.Jan.2022
449.0;40.0261;2;31.Jan.2022
449.5;40.02686;2;31.Jan.2022
450.0;40.02763;2;31.Jan.2022
450.5;40.02842;2;31.Jan.2022
451.0;40.02922;2;31.Jan.2022
451.5;40.03003;2;31.Jan.2022
452.0;40.03085;2;31.Jan.2022
452.5;40.03168;2;31.Jan.2022
453.0;40.03253;2;31.Jan.2022
453.5;40.03339;2;31.Jan.2022
454.0;40.03426;2;31.Jan.2022
454.5;40.03514;2;31.Jan.2022
455.0;40.03604;2;31.Jan.2022
455.5;40.03695;2;31.Jan.2022
456.0;40.03786;2;31.Jan.2022
456.5;40.03879;2;31.Jan.2022
457.0;40.03973;2;31.Jan.2022
457.5;40.04068;2;31.Jan.2022
458.0;40.04165;2;31.Jan.2022
458.5;40.04262;2;31.Jan.2022
459.0;40.0436;2;31.Jan.2022
459.5;40.0446;2;31.Jan.2022
460.0;40.0456;2;31.Jan.2022
460.5;40.04661;2;31.Jan.2022
461.0;40.04764;2;31.Jan.2022
461.5;40.04867;2;31.Jan.2022
462.0;40.04971;2;31.Jan.2022
462.5;40.05076;2;31.Jan.2022
463.0;40.05182;2;31.Jan.2022
463.5;40.05288;2;31.Jan.2022
464.0;40.05396;2;31.Jan.2022
464.5;40.05504;2;31.Jan.2022
465.0;40.05613;2;31.Jan.2022
465.5;40.05723;2;31.Jan.2022
466.0;40.05834;2;31.Jan.2022
466.5;40.05945;2;31.Jan.2022
467.0;40.06057;2;31.Jan.2022
467.5;40.0617;2;31.Jan.2022
468.0;40.06283;2;31.Jan.2022
468.5;40.06397;2;31.Jan.2022
469.0;40.06511;2;31.Jan.2022
469.5;40.06627;2;31.Jan.2022
470.0;40.06742;2;31.Jan.2022
470.5;40.06858;2;31.Jan.2022
471.0;40.06975;2;31.Jan.2022
471.5;40.07092;2;31.Jan.2022
472.0;40.0721;2;31.Jan.2022
472.5;40.07328;2;31.Jan.2022
473.0;40.07447;2;31.Jan.2022
473.5;40.07566;2;31.Jan.2022
474.0;40.07686;2;31.Jan.2022
474.5;40.07806;2;31.Jan.2022
475.0;40.07926;2;31.Jan.2022
475.5;40.08047;2;31.Jan.2022
476.0;40.08168;2;31.Jan.2022
476.5;40.0829;2;31.Jan.2022
477.0;40.08411;2;31.Jan.2022
477.5;40.08533;2;31.Jan.2022
478.0;40.08656;2;31.Jan.2022
478.5;40.08779;2;31.Jan.2022
479.0;40.08902;2;31.Jan.2022
479.5;40.09025;2;31.Jan.2022
480.0;40.09149;2;31.Jan.2022
480.5;40.09273;2;31.Jan.2022
481.0;40.09397;2;31.Jan.2022
481.5;40.09521;2;31.Jan.2022
482.0;40.09645;2;31.Jan.2022
482.5;40.0977;2;31.Jan.2022
483.0;40.09895;2;31.Jan.2022
483.5;40.1002;2;31.Jan.2022
484.0;40.10146;2;31.Jan.2022
484.5;40.10271;2;31.Jan.2022
485.0;40.10397;2;31.Jan.2022
485.5;40.10523;2;31.Jan.2022
486.0;40.10649;2;31.Jan.2022
486.5;40.10775;2;31.Jan.2022
487.0;40.10901;2;31.Jan.2022
487.5;40.11028;2;31.Jan.2022
488.0;40.11154;2;31.Jan.2022
488.5;40.11281;2;31.Jan.2022
489.0;40.11407;2;31.Jan.2022
489.5;40.11535;2;31.Jan.2022
490.0;40.11661;2;31.Jan.2022
490.5;40.11788;2;31.Jan.2022
491.0;40.11916;2;31.Jan.2022
491.5;40.12043;2;31.Jan.2022
492.0;40.1217;2;31.Jan.2022
492.5;40.12297;2;31.Jan.2022
493.0;40.12424;2;31.Jan.2022
493.5;40.12552;2;31.Jan.2022
494.0;40.1268;2;31.Jan.2022
494.5;40.12807;2;31.Jan.2022
495.0;40.12934;2;31.Jan.2022
495.5;40.13062;2;31.Jan.2022
496.0;40.1319;2;31.Jan.2022
496.5;40.13317;2;31.Jan.2022
497.0;40.13445;2;31.Jan.2022
497.5;40.13573;2;31.Jan.2022
498.0;40.13701;2;31.Jan.2022
498.5;40.13828;2;31.Jan.2022
499.0;40.13956;2;31.Jan.2022
499.5;40.14084;2;31.Jan.2022
400.0;39.97456;3;02.Jan.2023
400.5;39.97519;3;02.Jan.2023
401.0;39.97581;3;02.Jan.2023
401.5;39.97644;3;02.Jan.2023
402.0;39.97707;3;02.Jan.2023
402.5;39.9777;3;02.Jan.2023
403.0;39.97833;3;02.Jan.2023
403.5;39.97896;3;02.Jan.2023
404.0;39.97959;3;02.Jan.2023
404.5;39.98022;3;02.Jan.2023
405.0;39.98085;3;02.Jan.2023
405.5;39.98148;3;02.Jan.2023
406.0;39.98211;3;02.Jan.2023
406.5;39.98274;3;02.Jan.2023
407.0;39.98337;3;02.Jan.2023
407.5;39.984;3;02.Jan.2023
408.0;39.98463;3;02.Jan.2023
408.5;39.98527;3;02.Jan.2023
409.0;39.9859;3;02.Jan.2023
409.5;39.98653;3;02.Jan.2023
410.0;39.98717;3;02.Jan.2023
410.5;39.9878;3;02.Jan.2023
411.0;39.98844;3;02.Jan.2023
411.5;39.98907;3;02.Jan.2023
412.0;39.98971;3;02.Jan.2023
412.5;39.99035;3;02.Jan.2023
413.0;39.99099;3;02.Jan.2023
413.5;39.99162;3;02.Jan.2023
414.0;39.99226;3;02.Jan.2023
414.5;39.9929;3;02.Jan.2023
415.0;39.99354;3;02.Jan.2023
415.5;39.99418;3;02.Jan.2023
416.0;39.99483;3;02.Jan.2023
416.5;39.99547;3;02.Jan.2023
417.0;39.99611;3;02.Jan.2023
417.5;39.99676;3;02.Jan.2023
418.0;39.9974;3;02.Jan.2023
418.5;39.99805;3;02.Jan.2023
419.0;39.9987;3;02.Jan.2023
419.5;39.99934;3;02.Jan.2023
420.0;39.99999;3;02.Jan.2023
420.5;40.00064;3;02.Jan.2023
421.0;40.00129;3;02.Jan.2023
421.5;40.00195;3;02.Jan.2023
422.0;40.0026;3;02.Jan.2023
422.5;40.00325;3;02.Jan.2023
423.0;40.00391;3;02.Jan.2023
423.5;40.00456;3;02.Jan.2023
424.0;40.00522;3;02.Jan.2023
424.5;40.00587;3;02.Jan.2023
425.0;40.00653;3;02.Jan.2023
425.5;40.00719;3;02.Jan.2023
426.0;40.00786;3;02.Jan.2023
426.5;40.00852;3;02.Jan.2023
427.0;40.00918;3;02.Jan.2023
427.5;40.00985;3;02.Jan.2023
428.0;40.01051;3;02.Jan.2023
428.5;40.01118;3;02.Jan.2023
429.0;40.01185;3;02.Jan.2023
429.5;40.01252;3;02.Jan.2023
430.0;40.01319;3;02.Jan.2023
430.5;40.01386;3;02.Jan.2023
431.0;40.01453;3;02.Jan.2023
431.5;40.01521;3;02.Jan.2023
432.0;40.01588;3;02.Jan.2023
432.5;40.01656;3;02.Jan.2023
433.0;40.01723;3;02.Jan.2023
433.5;40.01791;3;02.Jan.2023
434.0;40.0186;3;02.Jan.2023
434.5;40.01928;3;02.Jan.2023
435.0;40.01996;3;02.Jan.2023
