DEPTH;GAS_DEN;TIME_INDEX;DATES
407.0;3.44904;2;31.Jan.2022
407.5;3.4649;2;31.Jan.2022
408.0;3.48197;2;31.Jan.2022
408.5;3.50029;2;31.Jan.2022
409.0;3.51989;2;31.Jan.2022
409.5;3.54079;2;31.Jan.2022
410.0;3.56305;2;31.Jan.2022
410.5;3.58669;2;31.Jan.2022
411.0;3.61176;2;31.Jan.2022
411.5;3.6383;2;31.Jan.2022
412.0;3.66636;2;31.Jan.2022
412.5;3.69598;2;31.Jan.2022
413.0;3.72721;2;31.Jan.2022
413.5;3.76011;2;31.Jan.2022
414.0;3.79472;2;31.Jan.2022
414.5;3.8311;2;31.Jan.2022
415.0;3.86932;2;31.Jan.2022
415.5;3.90943;2;31.Jan.2022
416.0;3.95148;2;31.Jan.2022
416.5;3.99555;2;31.Jan.2022
417.0;4.0417;2;31.Jan.2022
417.5;4.09;2;31.Jan.2022
418.0;4.14052;2;31.Jan.2022
418.5;4.19333;2;31.Jan.2022
419.0;4.24849;2;31.Jan.2022
419.5;4.3061;2;31.Jan.2022
420.0;4.36621;2;31.Jan.2022
420.5;4.42892;2;31.Jan.2022
421.0;4.4943;2;31.Jan.2022
421.5;4.56244;2;31.Jan.2022
422.0;4.6334;2;31.Jan.2022
422.5;4.70729;2;31.Jan.2022
423.0;4.78418;2;31.Jan.2022
423.5;4.86416;2;31.Jan.2022
424.0;4.94731;2;31.Jan.2022
424.5;5.03373;2;31.Jan.2022
425.0;5.12349;2;31.Jan.2022
425.5;5.21669;2;31.Jan.2022
426.0;5.31341;2;31.Jan.2022
426.5;5.41374;2;31.Jan.2022
427.0;5.51776;2;31.Jan.2022
427.5;5.62557;2;31.Jan.2022
428.0;5.73724;2;31.Jan.2022
428.5;5.85285;2;31.Jan.2022
429.0;5.97249;2;31.Jan.2022
429.5;6.09624;2;31.Jan.2022
430.0;6.22416;2;31.Jan.2022
430.5;6.35633;2;31.Jan.2022
431.0;6.49283;2;31.Jan.2022
431.5;6.63371;2;31.Jan.2022
432.0;6.77903;2;31.Jan.2022
432.5;6.92885;2;31.Jan.2022
433.0;7.08322;2;31.Jan.2022
433.5;7.24218;2;31.Jan.2022
434.0;7.40578;2;31.Jan.2022
434.5;7.57403;2;31.Jan.2022
435.0;7.74697;2;31.Jan.2022
435.5;7.9246;2;31.Jan.2022
436.0;8.10694;2;31.Jan.2022
436.5;8.29398;2;31.Jan.2022
437.0;8.4857;2;31.Jan.2022
437.5;8.68209;2;31.Jan.2022
438.0;8.88311;2;31.Jan.2022
438.5;9.08872;2;31.Jan.2022
439.0;9.29885;2;31.Jan.2022
439.5;9.51344;2;31.Jan.2022
440.0;9.73241;2;31.Jan.2022
440.5;9.95565;2;31.Jan.2022
441.0;10.18307;2;31.Jan.2022
441.5;10.41455;2;31.Jan.2022
442.0;10.64994;2;31.Jan.2022
442.5;10.8891;2;31.Jan.2022
443.0;11.13187;2;31.Jan.2022
443.5;11.37806;2;31.Jan.2022
444.0;11.6275;2;31.Jan.2022
444.5;11.87998;2;31.Jan.2022
445.0;12.13529;2;31.Jan.2022
445.5;12.39319;2;31.Jan.2022
446.0;12.65346;2;31.Jan.2022
446.5;12.91584;2;31.Jan.2022
447.0;13.18008;2;31.Jan.2022
447.5;13.4459;2;31.Jan.2022
448.0;13.71304;2;31.Jan.2022
448.5;13.98122;2;31.Jan.2022
449.0;14.25015;2;31.Jan.2022
449.5;14.51953;2;31.Jan.2022
450.0;14.78909;2;31.Jan.2022
450.5;15.05853;2;31.Jan.2022
451.0;15.32755;2;31.Jan.2022
451.5;15.59587;2;31.Jan.2022
452.0;15.8632;2;31.Jan.2022
452.5;16.12926;2;31.Jan.2022
453.0;16.39377;2;31.Jan.2022
453.5;16.65647;2;31.Jan.2022
454.0;16.9171;2;31.Jan.2022
454.5;17.1754;2;31.Jan.2022
455.0;17.43114;2;31.Jan.2022
455.5;17.6841;2;31.Jan.2022
456.0;17.93404;2;31.Jan.2022
456.5;18.18078;2;31.Jan.2022
457.0;18.42411;2;31.Jan.2022
457.5;18.66387;2;31.Jan.2022
458.0;18.89988;2;31.Jan.2022
458.5;19.13199;2;31.Jan.2022
459.0;19.36008;2;31.Jan.2022
459.5;19.58401;2;31.Jan.2022
460.0;19.80368;2;31.Jan.2022
460.5;20.01898;2;31.Jan.2022
461.0;20.22985;2;31.Jan.2022
461.5;20.43619;2;31.Jan.2022
462.0;20.63796;2;31.Jan.2022
462.5;20.83512;2;31.Jan.2022
463.0;21.02761;2;31.Jan.2022
463.5;21.21543;2;31.Jan.2022
464.0;21.39855;2;31.Jan.2022
464.5;21.57697;2;31.Jan.2022
465.0;21.7507;2;31.Jan.2022
465.5;21.91975;2;31.Jan.2022
466.0;22.08414;2;31.Jan.2022
466.5;22.2439;2;31.Jan.2022
467.0;22.39907;2;31.Jan.2022
467.5;22.54969;2;31.Jan.2022
468.0;22.69582;2;31.Jan.2022
468.5;22.8375;2;31.Jan.2022
469.0;22.9748;2;31.Jan.2022
469.5;23.10777;2;31.Jan.2022
470.0;23.2365;2;31.Jan.2022
470.5;23.36105;2;31.Jan.2022
471.0;23.48149;2;31.Jan.2022
471.5;23.5979;2;31.Jan.2022
472.0;23.71037;2;31.Jan.2022
472.5;23.81898;2;31.Jan.2022
473.0;23.9238;2;31.Jan.2022
473.5;24.02493;2;31.Jan.2022
474.0;24.12245;2;31.Jan.2022
474.5;24.21645;2;31.Jan.2022
475.0;24.30701;2;31.Jan.2022
475.5;24.39422;2;31.Jan.2022
476.0;24.47817;2;31.Jan.2022
476.5;24.55894;2;31.Jan.2022
477.0;24.63663;2;31.Jan.2022
477.5;24.71131;2;31.Jan.2022
478.0;24.78308;2;31.Jan.2022
478.5;24.85201;2;31.Jan.2022
479.0;24.91818;2;31.Jan.2022
479.5;24.98169;2;31.Jan.2022
480.0;25.0426;2;31.Jan.2022
480.5;25.10101;2;31.Jan.2022
481.0;25.15697;2;31.Jan.2022
481.5;25.21057;2;31.Jan.2022
482.0;25.26189;2;31.Jan.2022
482.5;25.31099;2;31.Jan.2022
483.0;25.35793;2;31.Jan.2022
483.5;25.40281;2;31.Jan.2022
484.0;25.44566;2;31.Jan.2022
484.5;25.48657;2;31.Jan.2022
485.0;25.52558;2;31.Jan.2022
485.5;25.56277;2;31.Jan.2022
486.0;25.59818;2;31.Jan.2022
486.5;25.63188;2;31.Jan.2022
487.0;25.66392;2;31.Jan.2022
487.5;25.69434;2;31.Jan.2022
488.0;25.7232;2;31.Jan.2022
488.5;25.75054;2;31.Jan.2022
489.0;25.77642;2;31.Jan.2022
489.5;25.80086;2;31.Jan.2022
490.0;25.82392;2;31.Jan.2022
490.5;25.84563;2;31.Jan.2022
491.0;25.86603;2;31.Jan.2022
491.5;25.88515;2;31.Jan.2022
492.0;25.90303;2;31.Jan.2022
492.5;25.91969;2;31.Jan.2022
493.0;25.93517;2;31.Jan.2022
493.5;25.9495;2;31.Jan.2022
494.0;25.96268;2;31.Jan.2022
494.5;25.97476;2;31.Jan.2022
495.0;25.98575;2;31.Jan.2022
495.5;25.99567;2;31.Jan.2022
496.0;26.00453;2;31.Jan.2022
496.5;26.01235;2;31.Jan.2022
497.0;26.01915;2;31.Jan.2022
497.5;26.02493;2;31.Jan.2022
498.0;26.02971;2;31.Jan.2022
498.5;26.03349;2;31.Jan.2022
499.0;26.03627;2;31.Jan.2022
499.5;26.03807;2;31.Jan.2022
400.0;12.79758;3;02.Jan.2023
400.5;12.79824;3;02.Jan.2023
401.0;12.79934;3;02.Jan.2023
401.5;12.80091;3;02.Jan.2023
402.0;12.80293;3;02.Jan.2023
402.5;12.8054;3;02.Jan.2023
403.0;12.80834;3;02.Jan.2023
403.5;12.81172;3;02.Jan.2023
404.0;12.81556;3;02.Jan.2023
404.5;12.81985;3;02.Jan.2023
405.0;12.82459;3;02.Jan.2023
405.5;12.82978;3;02.Jan.2023
406.0;12.83542;3;02.Jan.2023
406.5;12.84151;3;02.Jan.2023
407.0;12.84804;3;02.Jan.2023
407.5;12.85502;3;02.Jan.2023
408.0;12.86244;3;02.Jan.2023
408.5;12.8703;3;02.Jan.2023
409.0;12.8786;3;02.Jan.2023
409.5;12.88734;3;02.Jan.2023
410.0;12.89652;3;02.Jan.2023
410.5;12.90613;3;02.Jan.2023
411.0;12.91617;3;02.Jan.2023
411.5;12.92663;3;02.Jan.2023
412.0;12.93753;3;02.Jan.2023
412.5;12.94884;3;02.Jan.2023
413.0;12.96058;3;02.Jan.2023
413.5;12.97273;3;02.Jan.2023
414.0;12.9853;3;02.Jan.2023
414.5;12.99828;3;02.Jan.2023
415.0;13.01167;3;02.Jan.2023
415.5;13.02547;3;02.Jan.2023
416.0;13.03966;3;02.Jan.2023
416.5;13.05426;3;02.Jan.2023
417.0;13.06925;3;02.Jan.2023
417.5;13.08463;3;02.Jan.2023
418.0;13.1004;3;02.Jan.2023
418.5;13.11655;3;02.Jan.2023
419.0;13.13309;3;02.Jan.2023
419.5;13.15;3;02.Jan.2023
420.0;13.16728;3;02.Jan.2023
420.5;13.18493;3;02.Jan.2023
421.0;13.20294;3;02.Jan.2023
421.5;13.22131;3;02.Jan.2023
422.0;13.24003;3;02.Jan.2023
422.5;13.25911;3;02.Jan.2023
423.0;13.27853;3;02.Jan.2023
423.5;13.29829;3;02.Jan.2023
424.0;13.31839;3;02.Jan.2023
424.5;13.33881;3;02.Jan.2023
425.0;13.35957;3;02.Jan.2023
425.5;13.38064;3;02.Jan.2023
426.0;13.40203;3;02.Jan.2023
426.5;13.42373;3;02.Jan.2023
427.0;13.44574;3;02.Jan.2023
427.5;13.46804;3;02.Jan.2023
