M:\Spring_2022\H2_Project\Case_3_Final\H2_H2O_Case3_noPC_final_v13_volmodifier.sr3
Time (day);{15, 1, 26}-Gas Saturation;{15, 1, 1}-Gas Saturation
15.333333;5.57401E-07;5.44606E-07
15.375;5.57231E-07;5.44434E-07
15.416667;5.57057E-07;5.44259E-07
15.458333;5.56883E-07;5.44082E-07
15.5;5.56707E-07;5.43905E-07
15.541667;5.56531E-07;5.43727E-07
15.583333;5.56354E-07;5.43548E-07
15.625;5.56177E-07;5.43369E-07
15.666667;5.55998E-07;5.43189E-07
15.708333;5.55818E-07;5.43007E-07
15.75;5.55638E-07;5.42825E-07
15.791667;5.55456E-07;5.42641E-07
15.833333;5.55273E-07;5.42456E-07
15.875;5.55089E-07;5.4227E-07
15.916667;5.54904E-07;5.42083E-07
15.958333;5.54717E-07;5.41895E-07
16;5.5453E-07;5.41706E-07
16.041666;5.54342E-07;5.41516E-07
16.083334;5.54152E-07;5.41325E-07
16.125;5.53961E-07;5.41132E-07
16.166666;5.53769E-07;5.40938E-07
16.208334;5.53577E-07;5.40744E-07
16.25;5.53384E-07;5.40549E-07
16.291666;5.5319E-07;5.40353E-07
16.333334;5.52993E-07;5.40154E-07
16.375;5.52796E-07;5.39955E-07
16.416666;5.52597E-07;5.39754E-07
16.458334;5.52398E-07;5.39553E-07
16.5;5.52198E-07;5.39351E-07
16.541666;5.51999E-07;5.39151E-07
16.583334;5.51801E-07;5.38951E-07
16.625;5.51605E-07;5.38753E-07
16.666666;5.51408E-07;5.38555E-07
16.708334;5.51212E-07;5.38357E-07
16.75;5.51016E-07;5.38159E-07
16.791666;5.50821E-07;5.37961E-07
16.833334;5.50625E-07;5.37764E-07
16.875;5.50429E-07;5.37566E-07
16.916666;5.50235E-07;5.3737E-07
16.958334;5.50039E-07;5.37172E-07
17;5.49842E-07;5.36974E-07
17.041666;5.49646E-07;5.36776E-07
17.083334;5.49449E-07;5.36577E-07
17.125;5.49254E-07;5.3638E-07
17.166666;5.49059E-07;5.36184E-07
