TOPS        PRESSURE   Group Index   Group Description     
408.00000   39.99954   1             04.Jan 2022 - 00:00:00
408.50000   39.99969   1             04.Jan 2022 - 00:00:00
409.00000   39.99983   1             04.Jan 2022 - 00:00:00
409.50000   39.99997   1             04.Jan 2022 - 00:00:00
410.00000   40.00012   1             04.Jan 2022 - 00:00:00
410.50000   40.00026   1             04.Jan 2022 - 00:00:00
411.00000   40.00040   1             04.Jan 2022 - 00:00:00
411.50000   40.00055   1             04.Jan 2022 - 00:00:00
412.00000   40.00069   1             04.Jan 2022 - 00:00:00
412.50000   40.00084   1             04.Jan 2022 - 00:00:00
413.00000   40.00098   1             04.Jan 2022 - 00:00:00
413.50000   40.00113   1             04.Jan 2022 - 00:00:00
414.00000   40.00127   1             04.Jan 2022 - 00:00:00
414.50000   40.00142   1             04.Jan 2022 - 00:00:00
415.00000   40.00156   1             04.Jan 2022 - 00:00:00
415.50000   40.00170   1             04.Jan 2022 - 00:00:00
416.00000   40.00185   1             04.Jan 2022 - 00:00:00
416.50000   40.00199   1             04.Jan 2022 - 00:00:00
417.00000   40.00213   1             04.Jan 2022 - 00:00:00
417.50000   40.00228   1             04.Jan 2022 - 00:00:00
418.00000   40.00242   1             04.Jan 2022 - 00:00:00
418.50000   40.00257   1             04.Jan 2022 - 00:00:00
419.00000   40.00271   1             04.Jan 2022 - 00:00:00
419.50000   40.00285   1             04.Jan 2022 - 00:00:00
420.00000   40.00300   1             04.Jan 2022 - 00:00:00
420.50000   40.00314   1             04.Jan 2022 - 00:00:00
421.00000   40.00329   1             04.Jan 2022 - 00:00:00
421.50000   40.00343   1             04.Jan 2022 - 00:00:00
422.00000   40.00358   1             04.Jan 2022 - 00:00:00
422.50000   40.00372   1             04.Jan 2022 - 00:00:00
423.00000   40.00387   1             04.Jan 2022 - 00:00:00
423.50000   40.00401   1             04.Jan 2022 - 00:00:00
424.00000   40.00416   1             04.Jan 2022 - 00:00:00
424.50000   40.00430   1             04.Jan 2022 - 00:00:00
425.00000   40.00445   1             04.Jan 2022 - 00:00:00
425.50000   40.00459   1             04.Jan 2022 - 00:00:00
