TOPS        GAS_DEN    Group Index   Group Description     
447.00000   9.84118    1             04.Jan 2022 - 00:00:00
447.50000   10.60660   1             04.Jan 2022 - 00:00:00
448.00000   11.42778   1             04.Jan 2022 - 00:00:00
448.50000   12.30033   1             04.Jan 2022 - 00:00:00
449.00000   13.21648   1             04.Jan 2022 - 00:00:00
449.50000   14.16401   1             04.Jan 2022 - 00:00:00
450.00000   15.12488   1             04.Jan 2022 - 00:00:00
450.50000   16.07354   1             04.Jan 2022 - 00:00:00
451.00000   16.99174   1             04.Jan 2022 - 00:00:00
451.50000   17.86698   1             04.Jan 2022 - 00:00:00
452.00000   18.69124   1             04.Jan 2022 - 00:00:00
452.50000   19.45991   1             04.Jan 2022 - 00:00:00
453.00000   20.17096   1             04.Jan 2022 - 00:00:00
453.50000   20.82424   1             04.Jan 2022 - 00:00:00
454.00000   21.42099   1             04.Jan 2022 - 00:00:00
454.50000   21.96341   1             04.Jan 2022 - 00:00:00
455.00000   22.45432   1             04.Jan 2022 - 00:00:00
455.50000   22.89697   1             04.Jan 2022 - 00:00:00
456.00000   23.29479   1             04.Jan 2022 - 00:00:00
456.50000   23.65129   1             04.Jan 2022 - 00:00:00
457.00000   23.96993   1             04.Jan 2022 - 00:00:00
457.50000   24.25409   1             04.Jan 2022 - 00:00:00
458.00000   24.50699   1             04.Jan 2022 - 00:00:00
458.50000   24.73165   1             04.Jan 2022 - 00:00:00
459.00000   24.93090   1             04.Jan 2022 - 00:00:00
459.50000   25.10736   1             04.Jan 2022 - 00:00:00
460.00000   25.26343   1             04.Jan 2022 - 00:00:00
460.50000   25.40130   1             04.Jan 2022 - 00:00:00
461.00000   25.52297   1             04.Jan 2022 - 00:00:00
461.50000   25.63023   1             04.Jan 2022 - 00:00:00
462.00000   25.72472   1             04.Jan 2022 - 00:00:00
462.50000   25.80790   1             04.Jan 2022 - 00:00:00
463.00000   25.88107   1             04.Jan 2022 - 00:00:00
463.50000   25.94540   1             04.Jan 2022 - 00:00:00
464.00000   26.00193   1             04.Jan 2022 - 00:00:00
464.50000   26.05159   1             04.Jan 2022 - 00:00:00
465.00000   26.09520   1             04.Jan 2022 - 00:00:00
465.50000   26.13349   1             04.Jan 2022 - 00:00:00
466.00000   26.16711   1             04.Jan 2022 - 00:00:00
466.50000   26.19662   1             04.Jan 2022 - 00:00:00
467.00000   26.22253   1             04.Jan 2022 - 00:00:00
467.50000   26.24528   1             04.Jan 2022 - 00:00:00
468.00000   26.26526   1             04.Jan 2022 - 00:00:00
468.50000   26.28282   1             04.Jan 2022 - 00:00:00
469.00000   26.29825   1             04.Jan 2022 - 00:00:00
469.50000   26.31183   1             04.Jan 2022 - 00:00:00
470.00000   26.32379   1             04.Jan 2022 - 00:00:00
470.50000   26.33432   1             04.Jan 2022 - 00:00:00
471.00000   26.34362   1             04.Jan 2022 - 00:00:00
471.50000   26.35183   1             04.Jan 2022 - 00:00:00
472.00000   26.35910   1             04.Jan 2022 - 00:00:00
472.50000   26.36554   1             04.Jan 2022 - 00:00:00
473.00000   26.37125   1             04.Jan 2022 - 00:00:00
473.50000   26.37634   1             04.Jan 2022 - 00:00:00
474.00000   26.38089   1             04.Jan 2022 - 00:00:00
474.50000   26.38495   1             04.Jan 2022 - 00:00:00
475.00000   26.38860   1             04.Jan 2022 - 00:00:00
475.50000   26.39188   1             04.Jan 2022 - 00:00:00
476.00000   26.39484   1             04.Jan 2022 - 00:00:00
476.50000   26.39753   1             04.Jan 2022 - 00:00:00
477.00000   26.39998   1             04.Jan 2022 - 00:00:00
477.50000   26.40222   1             04.Jan 2022 - 00:00:00
478.00000   26.40428   1             04.Jan 2022 - 00:00:00
478.50000   26.40618   1             04.Jan 2022 - 00:00:00
479.00000   26.40794   1             04.Jan 2022 - 00:00:00
479.50000   26.40958   1             04.Jan 2022 - 00:00:00
480.00000   26.41111   1             04.Jan 2022 - 00:00:00
480.50000   26.41256   1             04.Jan 2022 - 00:00:00
481.00000   26.41392   1             04.Jan 2022 - 00:00:00
481.50000   26.41522   1             04.Jan 2022 - 00:00:00
482.00000   26.41645   1             04.Jan 2022 - 00:00:00
482.50000   26.41764   1             04.Jan 2022 - 00:00:00
483.00000   26.41877   1             04.Jan 2022 - 00:00:00
483.50000   26.41987   1             04.Jan 2022 - 00:00:00
484.00000   26.42094   1             04.Jan 2022 - 00:00:00
484.50000   26.42197   1             04.Jan 2022 - 00:00:00
485.00000   26.42298   1             04.Jan 2022 - 00:00:00
485.50000   26.42396   1             04.Jan 2022 - 00:00:00
486.00000   26.42493   1             04.Jan 2022 - 00:00:00
486.50000   26.42588   1             04.Jan 2022 - 00:00:00
487.00000   26.42681   1             04.Jan 2022 - 00:00:00
487.50000   26.42773   1             04.Jan 2022 - 00:00:00
488.00000   26.42864   1             04.Jan 2022 - 00:00:00
488.50000   26.42954   1             04.Jan 2022 - 00:00:00
489.00000   26.43043   1             04.Jan 2022 - 00:00:00
489.50000   26.43132   1             04.Jan 2022 - 00:00:00
490.00000   26.43220   1             04.Jan 2022 - 00:00:00
490.50000   26.43307   1             04.Jan 2022 - 00:00:00
491.00000   26.43393   1             04.Jan 2022 - 00:00:00
491.50000   26.43480   1             04.Jan 2022 - 00:00:00
492.00000   26.43566   1             04.Jan 2022 - 00:00:00
492.50000   26.43651   1             04.Jan 2022 - 00:00:00
493.00000   26.43736   1             04.Jan 2022 - 00:00:00
493.50000   26.43822   1             04.Jan 2022 - 00:00:00
494.00000   26.43906   1             04.Jan 2022 - 00:00:00
494.50000   26.43991   1             04.Jan 2022 - 00:00:00
495.00000   26.44076   1             04.Jan 2022 - 00:00:00
495.50000   26.44160   1             04.Jan 2022 - 00:00:00
496.00000   26.44244   1             04.Jan 2022 - 00:00:00
496.50000   26.44328   1             04.Jan 2022 - 00:00:00
497.00000   26.44412   1             04.Jan 2022 - 00:00:00
497.50000   26.44496   1             04.Jan 2022 - 00:00:00
498.00000   26.44580   1             04.Jan 2022 - 00:00:00
498.50000   26.44664   1             04.Jan 2022 - 00:00:00
499.00000   26.44748   1             04.Jan 2022 - 00:00:00
499.50000   26.44831   1             04.Jan 2022 - 00:00:00
400.00000   3.50323    2             31.Jan 2022 - 00:00:00
400.50000   3.50408    2             31.Jan 2022 - 00:00:00
401.00000   3.50577    2             31.Jan 2022 - 00:00:00
401.50000   3.50830    2             31.Jan 2022 - 00:00:00
402.00000   3.51168    2             31.Jan 2022 - 00:00:00
402.50000   3.51590    2             31.Jan 2022 - 00:00:00
403.00000   3.52098    2             31.Jan 2022 - 00:00:00
403.50000   3.52692    2             31.Jan 2022 - 00:00:00
404.00000   3.53374    2             31.Jan 2022 - 00:00:00
404.50000   3.54143    2             31.Jan 2022 - 00:00:00
405.00000   3.55002    2             31.Jan 2022 - 00:00:00
405.50000   3.55952    2             31.Jan 2022 - 00:00:00
